,X,f(x),f_pred(x),diff,SE,AE
0,0.0,0.4419465563086729,0.8,-0.35805344369132713,0.12820226853921837,0.35805344369132713
1,1.1111111111111112,1.2090436221299337,1.8,-0.5909563778700664,0.3492294405453087,0.5909563778700664
2,2.2222222222222223,2.400990480164866,2.8000000000000003,-0.39900951983513444,0.15920859691906455,0.39900951983513444
3,3.3333333333333335,2.161702380513228,3.8000000000000003,-1.6382976194867722,2.6840190900160246,1.6382976194867722
4,4.444444444444445,3.902028150785778,4.800000000000001,-0.8979718492142226,0.8063534419812105,0.8979718492142226
5,5.555555555555555,5.8354037002575145,5.8,0.035403700257514714,0.0012534219919239475,0.035403700257514714
6,6.666666666666667,7.136401341594706,6.800000000000001,0.3364013415947049,0.11316586262671735,0.3364013415947049
7,7.777777777777779,7.288537256718431,7.800000000000001,-0.5114627432815695,0.26159413776510865,0.5114627432815695
8,8.88888888888889,9.140437308943484,8.8,0.3404373089434838,0.11589756132068102,0.3404373089434838
9,10.0,10.203207234447401,9.8,0.40320723444740025,0.1625760739107208,0.40320723444740025
